áYâú (826)-A2,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
14.5,0,0,0,0
15.1,0,0,0,0
15.5,0,0,0,0
15.9,0,0,0,0
16.6,0,0,0,0
16.4,0,0,0,0
16.9,0,0,0,0
17.6,0,0,0,0
18,0,0,0,0
18.4,0.03,0.06,7.7,-60.9
16.8,0.03,0.17,18.9,-52.4
15.7,0.01,0.25,28.7,-41.5
15.5,0.04,0.38,36.3,-27.7
16,0.17,0.72,40.8,-10.8
16.3,0.12,0.67,41.1,7.7
15.9,0.1,0.53,37.3,25
15.7,0.05,0.32,30.1,39.4
15.5,0.11,0.3,20.6,50.7
15,0.06,0.11,9.6,59.6
15.2,0.01,0.01,0,0
14.5,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
13.7,0,0,0,0
13.5,0,0,0,0
13.1,0,0,0,0
12.9,0,0,0,0
13.2,0,0,0,0
13.5,0,0,0,0
13.6,0,0,0,0
13.6,0,0,0,0
13.6,0,0,0,0
13.6,0,0,0,0
13.5,0.05,0.08,7.7,-61.1
13.2,0.04,0.2,18.9,-52.6
13.8,0.03,0.3,28.7,-41.7
13,0.01,0.36,36.4,-27.9
13.2,0.02,0.41,40.9,-10.9
13.1,0,0.41,41.3,7.6
12.8,0.02,0.37,37.5,25
12.8,0.03,0.3,30.3,39.5
12.9,0.04,0.22,20.8,50.8
12.7,0.08,0.12,9.8,59.7
12.5,0.01,0.01,0,0
12.4,0,0,0,0
12.6,0,0,0,0
12.2,0,0,0,0
12.5,0,0,0,0
12.3,0,0,0,0
11.7,0,0,0,0
12.3,0,0,0,0
12.1,0,0,0,0
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
11.6,0,0,0,0
11.8,0,0,0,0
11.9,0.45,0.14,7.7,-61.3
13.6,1.4,0.34,18.9,-52.8
14,0.22,0.51,28.8,-41.9
13.9,0.22,0.68,36.5,-28.1
14.9,1.76,0.69,41.1,-11.1
15.8,1.77,0.69,41.5,7.5
15,1.19,0.77,37.7,25
15.3,1.69,0.51,30.5,39.5
14.3,0.77,0.42,21,50.9
13.9,0.54,0.19,10,59.8
13.4,0.01,0.02,0,0
13.8,0,0,0,0
13.2,0,0,0,0
13.7,0,0,0,0
13.7,0,0,0,0
14,0,0,0,0
13.7,0,0,0,0
13.3,0,0,0,0
13.6,0,0,0,0
13.4,0,0,0,0
13.5,0,0,0,0
13.8,0,0,0,0
14.2,0,0,0,0
14.2,0,0,0,0
14.6,0.13,0.1,7.7,-61.5
15,0.08,0.24,19,-53
16.6,0.81,0.61,28.9,-42.2
16.4,0.61,0.79,36.7,-28.3
16,0.99,0.87,41.2,-11.2
17,0.63,0.9,41.7,7.4
17.1,0.2,0.68,37.9,25
17.2,0.66,0.66,30.7,39.6
15.6,0.08,0.27,21.2,51
14.9,0.1,0.13,10.1,59.9
14.6,0.01,0.01,0,0
14.8,0,0,0,0
14.8,0,0,0,0
15.1,0,0,0,0
15.4,0,0,0,0
15.6,0,0,0,0
14.8,0,0,0,0
15.3,0,0,0,0
15.4,0,0,0,0
15.1,0,0,0,0
15.4,0,0,0,0
15.1,0,0,0,0
15.9,0,0,0,0
15.7,0,0,0,0
16.3,0.5,0.14,7.8,-61.7
17.9,1.11,0.37,19.1,-53.2
19.5,1.38,0.55,29,-42.4
18.6,1.16,0.76,36.8,-28.5
17.6,0.77,0.9,41.4,-11.4
18.7,1.18,0.86,41.9,7.4
18.4,0.35,0.77,38.1,25
18.1,0.07,0.42,30.9,39.6
17.3,0.1,0.3,21.4,51
16.4,0.12,0.14,10.3,60
15.6,0.01,0.01,0,0
15.8,0,0,0,0
15.1,0,0,0,0
15.5,0,0,0,0
16.4,0,0,0,0
15.9,0,0,0,0
16.1,0,0,0,0
15.1,0,0,0,0
15.5,0,0,0,0
15.5,0,0,0,0
15.9,0,0,0,0
16,0,0,0,0
16.2,0,0,0,0
16.2,0,0,0,0
16.7,0.14,0.11,7.8,-61.9
17.6,0.61,0.39,19.1,-53.4
19.1,1.05,0.59,29.1,-42.6
18.7,0.16,0.63,36.9,-28.7
19.3,0.05,0.55,41.6,-11.6
18.6,0.31,0.84,42.1,7.3
21.1,1.35,0.75,38.3,25
21,1.31,0.6,31.1,39.7
20,1.11,0.42,21.6,51.1
19.1,0.23,0.16,10.5,60.1
18.4,0.01,0.01,0,0
18.2,0,0,0,0
17.7,0,0,0,0
17.7,0,0,0,0
17.5,0,0,0,0
18,0,0,0,0
18.3,0,0,0,0
18.7,0,0,0,0
18.5,0,0,0,0
19,0,0,0,0
18.7,0,0,0,0
18.8,0,0,0,0
19,0,0,0,0
19.1,0,0,0,0
16.8,0.02,0.05,7.8,-62.1
16.4,0.01,0.13,19.2,-53.6
16,0.02,0.24,29.2,-42.8
15.7,0,0.31,37.1,-28.9
15,0.01,0.26,41.7,-11.7
14.8,0,0.27,42.3,7.2
14.6,0.01,0.24,38.5,25
14,0.02,0.25,31.3,39.7
13.4,0.04,0.23,21.7,51.2
13.4,0.04,0.09,10.7,60.2
13,0.01,0.01,0,0
13.1,0,0,0,0
13.5,0,0,0,0
13.4,0,0,0,0
13.5,0,0,0,0
13.5,0,0,0,0
13.5,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.1,0,0,0,0
13.1,0,0,0,0
13.5,0,0,0,0
13.5,0.05,0.08,7.9,-62.3
13.4,0.05,0.2,19.3,-53.8
13.3,0.04,0.3,29.3,-43
13.2,0.05,0.36,37.2,-29.1
13.1,0.01,0.43,41.9,-11.9
13.1,0.04,0.41,42.5,7.1
13.4,0.11,0.59,38.7,25
13.3,0.05,0.39,31.5,39.8
12.4,0.05,0.23,21.9,51.4
12.3,0.05,0.12,10.8,60.4
11.8,0.01,0.01,0,0
11.6,0,0,0,0
12,0,0,0,0
11.8,0,0,0,0
11.8,0,0,0,0
11.5,0,0,0,0
11.5,0,0,0,0
11.8,0,0,0,0
10.9,0,0,0,0
10.8,0,0,0,0
10.8,0,0,0,0
11.3,0,0,0,0
11.2,0,0,0,0
10.9,0,0,0,0
10.9,0.06,0.08,7.9,-62.6
11.2,0.05,0.19,19.3,-54
10.9,0.04,0.29,29.4,-43.2
11,0.02,0.37,37.4,-29.3
11,0.02,0.4,42.1,-12
11.2,0.02,0.41,42.7,7.1
10.8,0.01,0.38,39,25.1
10.4,0.03,0.31,31.7,39.9
10.9,0.04,0.22,22.1,51.5
10.8,0.05,0.12,11,60.5
10.6,0.01,0.01,0,0
10.7,0,0,0,0
10.8,0,0,0,0
11.2,0,0,0,0
11.1,0,0,0,0
11.5,0,0,0,0
11.4,0,0,0,0
11.6,0,0,0,0
11.9,0,0,0,0
10.4,0,0,0,0
10.8,0,0,0,0
10.4,0,0,0,0
11.4,0,0,0,0
10.1,0,0,0,0
11,0.07,0.09,8,-62.8
11.2,0.05,0.21,19.4,-54.3
11.4,0.04,0.32,29.5,-43.4
12.3,0.02,0.4,37.5,-29.5
12.4,0.14,0.67,42.3,-12.2
12.5,0.09,0.63,42.9,7
12,0.09,0.56,39.2,25.1
12.5,0.06,0.41,31.9,40
11.8,0.05,0.24,22.3,51.6
11.6,0.06,0.13,11.2,60.7
11.6,0.01,0.01,0,0
11.7,0,0,0,0
10.7,0,0,0,0
10.7,0,0,0,0
10.8,0,0,0,0
11.2,0,0,0,0
11,0,0,0,0
10.7,0,0,0,0
10.5,0,0,0,0
10.7,0,0,0,0
10.5,0,0,0,0
10.4,0,0,0,0
10.4,0,0,0,0
10.7,0,0,0,0
10.1,0.11,0.1,8.1,-63
10.7,0.16,0.31,19.5,-54.5
11.3,0.42,0.6,29.7,-43.7
10.7,0.2,0.67,37.7,-29.7
11.7,0.5,0.91,42.5,-12.3
11,0.14,0.69,43.1,7
11.2,0.26,0.76,39.4,25.1
11.7,0.66,0.68,32.2,40.1
11.3,0.79,0.46,22.5,51.7
9.6,0.14,0.16,11.4,60.8
10.5,0.01,0.02,0,0
9.9,0,0,0,0
10.5,0,0,0,0
10.8,0,0,0,0
10.1,0,0,0,0
10.6,0,0,0,0
9.5,0,0,0,0
10.2,0,0,0,0
10.2,0,0,0,0
8.8,0,0,0,0
9.7,0,0,0,0
9.3,0,0,0,0
9.6,0,0,0,0
9.8,0,0,0,0
9.9,0.08,0.1,8.1,-63.2
10.5,0.05,0.23,19.6,-54.7
10.9,0.05,0.33,29.8,-43.9
11.5,0.11,0.57,37.9,-29.9
11,0.09,0.65,42.7,-12.4
11.3,0.15,0.71,43.4,6.9
12.6,0.22,0.72,39.7,25.2
11.7,0.36,0.65,32.4,40.2
11.8,0.13,0.34,22.7,51.9
11.6,0.06,0.14,11.6,61
11.5,0.01,0.02,0,0
11.5,0,0,0,0
11.5,0,0,0,0
11.6,0,0,0,0
11.6,0,0,0,0
11.7,0,0,0,0
11.8,0,0,0,0
11.8,0,0,0,0
11.7,0,0,0,0
11.8,0,0,0,0
11.9,0,0,0,0
11.9,0,0,0,0
12,0,0,0,0
12.2,0,0,0,0
12.3,0.14,0.12,8.2,-63.5
12.9,0.48,0.39,19.7,-55
13.6,1.54,0.54,29.9,-44.1
14.7,1.58,0.68,38,-30.1
14.2,0.83,0.93,43,-12.6
13.5,0.17,0.77,43.6,6.9
13.7,0.5,0.85,39.9,25.2
14.8,1.55,0.59,32.6,40.3
14.5,1.37,0.42,22.9,52
13.9,0.3,0.2,11.7,61.1
13.9,0.01,0.02,0,0
13.9,0,0,0,0
14.1,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.3,0,0,0,0
14.4,0,0,0,0
14.5,0,0,0,0
14.6,0,0,0,0
14.1,0,0,0,0
13.1,0,0,0,0
10.9,0,0,0,0
10.6,0,0,0,0
11,0.02,0.05,8.3,-63.7
11.8,0.03,0.18,19.8,-55.2
12.2,0.05,0.39,30.1,-44.4
13.7,0.17,0.67,38.2,-30.3
13.6,0.05,0.42,43.2,-12.7
12.7,0.03,0.44,43.9,6.8
12.7,0.04,0.41,40.1,25.3
13.4,0.07,0.41,32.8,40.4
13.9,0.22,0.4,23.1,52.2
13.6,0.06,0.14,11.9,61.3
13.5,0.01,0.02,0,0
13.5,0,0,0,0
13.3,0,0,0,0
13.6,0,0,0,0
13.2,0,0,0,0
13.5,0,0,0,0
14.2,0,0,0,0
12.5,0,0,0,0
12.9,0,0,0,0
13.1,0,0,0,0
12.8,0,0,0,0
12.3,0,0,0,0
13,0,0,0,0
13.2,0,0,0,0
13.9,0.79,0.15,8.4,-64
15.1,1.26,0.37,20,-55.4
15.7,1.71,0.5,30.2,-44.6
15.5,0.56,0.82,38.4,-30.5
14.6,0.57,0.94,43.4,-12.9
14.5,0.41,0.92,44.1,6.8
14.9,0.21,0.75,40.4,25.4
15.4,1.43,0.62,33.1,40.6
15.7,1.55,0.41,23.3,52.3
15.3,0.88,0.23,12.1,61.5
14.4,0.07,0.04,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.5,0,0,0,0
14.5,0,0,0,0
14.5,0,0,0,0
14.4,0,0,0,0
14.5,0,0,0,0
14.1,0,0,0,0
14.3,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
14.6,0.28,0.14,8.5,-64.2
16.6,1.06,0.4,20.1,-55.7
17.3,0.55,0.64,30.4,-44.8
16.8,1.31,0.77,38.6,-30.7
17.9,0.39,0.9,43.6,-13
17.4,0.41,0.93,44.4,6.8
16.6,0.22,0.75,40.6,25.4
16.7,0.15,0.55,33.3,40.7
17,0.27,0.43,23.5,52.5
16.3,0.12,0.16,12.3,61.7
15.2,0.04,0.03,0.1,69.1
14.5,0,0,0,0
15.3,0,0,0,0
15,0,0,0,0
14.2,0,0,0,0
14.4,0,0,0,0
14.6,0,0,0,0
14.7,0,0,0,0
14.4,0,0,0,0
14.1,0,0,0,0
13.7,0,0,0,0
13.2,0,0,0,0
13,0,0,0,0
12.8,0,0,0,0
12.9,1.02,0.15,8.6,-64.5
14.5,1.87,0.3,20.2,-55.9
15.6,2.2,0.4,30.5,-45.1
16.1,2.27,0.5,38.8,-30.9
15.9,2.32,0.54,43.9,-13.2
16,2.34,0.55,44.6,6.7
16,2.3,0.5,40.9,25.5
15.9,2.21,0.43,33.5,40.9
15.4,2.02,0.33,23.8,52.7
15.3,1.06,0.23,12.5,61.9
13.9,0.07,0.04,0.3,69.3
14.2,0,0,0,0
14.5,0,0,0,0
14.5,0,0,0,0
14.3,0,0,0,0
13.8,0,0,0,0
14.1,0,0,0,0
13.8,0,0,0,0
13.5,0,0,0,0
13.8,0,0,0,0
13.6,0,0,0,0
13.5,0,0,0,0
14.3,0,0,0,0
14.7,0,0,0,0
14.7,0.15,0.12,8.7,-64.7
15.3,0.66,0.41,20.3,-56.2
17.7,1.04,0.63,30.7,-45.3
18.9,1.66,0.68,39,-31.2
19.7,1.36,0.86,44.1,-13.3
18.5,1.38,0.87,44.9,6.7
19.5,1.67,0.72,41.2,25.6
19.9,1.63,0.59,33.8,41
19.2,0.93,0.49,24,52.9
17.8,0.23,0.21,12.7,62.1
17.1,0.04,0.03,0.5,69.5
16.9,0,0,0,0
17.6,0,0,0,0
17.5,0,0,0,0
17.1,0,0,0,0
17.1,0,0,0,0
16.3,0,0,0,0
16.8,0,0,0,0
17.5,0,0,0,0
17.9,0,0,0,0
17.7,0,0,0,0
17.5,0,0,0,0
18.7,0,0,0,0
18.2,0,0,0,0
18.6,0.05,0.09,8.8,-65
18.9,0.04,0.22,20.5,-56.4
19.3,0.05,0.37,30.9,-45.6
19.1,0.04,0.46,39.3,-31.4
19.3,0,0.36,44.4,-13.4
17.5,0.03,0.27,45.2,6.7
17.3,0,0.34,41.4,25.7
17.6,0.03,0.33,34,41.2
17.4,0.02,0.21,24.2,53.1
17.4,0.03,0.1,12.8,62.3
17.2,0.01,0.02,0.6,69.7
17.1,0,0,0,0
16.8,0,0,0,0
17,0,0,0,0
17,0,0,0,0
17,0,0,0,0
16.8,0,0,0,0
16.7,0,0,0,0
16.6,0,0,0,0
16.4,0,0,0,0
16.2,0,0,0,0
16.3,0,0,0,0
16.1,0,0,0,0
16,0,0,0,0
16,0.05,0.09,8.9,-65.2
16.1,0.04,0.22,20.6,-56.7
16.2,0.04,0.31,31.1,-45.8
16.2,0.05,0.37,39.5,-31.6
16.1,0.02,0.42,44.7,-13.6
15.9,0,0.44,45.5,6.7
16.1,0.04,0.39,41.7,25.8
15.9,0.01,0.34,34.2,41.3
15.9,0.04,0.24,24.4,53.3
15.8,0.05,0.14,13,62.5
16.1,0.01,0.02,0.8,69.9
16.6,0,0,0,0
17.1,0,0,0,0
17.5,0,0,0,0
17.7,0,0,0,0
17.3,0,0,0,0
17.5,0,0,0,0
17.5,0,0,0,0
17.4,0,0,0,0
17.4,0,0,0,0
17.4,0,0,0,0
17.6,0,0,0,0
17.2,0,0,0,0
17.5,0,0,0,0
17.7,0.41,0.16,9,-65.5
18.2,0.23,0.36,20.8,-56.9
18.6,0.05,0.32,31.3,-46.1
16.7,0,0.3,39.7,-31.8
16.6,0.04,0.47,44.9,-13.7
16.5,0.07,0.62,45.8,6.7
16.5,0.08,0.56,42,25.9
16,0.06,0.46,34.5,41.5
15.3,0.08,0.31,24.6,53.5
14.9,0.07,0.15,13.2,62.7
14.7,0.04,0.03,0.9,70.2
14.4,0,0,0,0
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
13.4,0,0,0,0
12.8,0,0,0,0
13.1,0,0,0,0
13,0,0,0,0
13,0,0,0,0
12.9,0,0,0,0
12.4,0,0,0,0
12.1,0,0,0,0
12.2,0.1,0.11,9.1,-65.7
12.1,0.09,0.27,20.9,-57.2
12,0.08,0.44,31.4,-46.3
12.5,0.08,0.56,39.9,-32
12,0.09,0.63,45.2,-13.8
12.5,0.07,0.65,46,6.7
13.3,0.86,0.91,42.2,26
13,0.46,0.73,34.7,41.7
12.3,0.13,0.38,24.8,53.7
11.7,0.21,0.22,13.4,62.9
10.9,0.04,0.03,1.1,70.4
10.5,0,0,0,0
10.5,0,0,0,0
10.9,0,0,0,0
10.9,0,0,0,0
10.6,0,0,0,0
10.8,0,0,0,0
11,0,0,0,0
10.9,0,0,0,0
11,0,0,0,0
10.7,0,0,0,0
10.6,0,0,0,0
10.3,0,0,0,0
10.6,0.01,0.01,0,0
11.4,0.66,0.17,9.3,-66
11.8,1.59,0.35,21.1,-57.5
12.3,1.72,0.53,31.6,-46.6
12.4,0.58,0.86,40.2,-32.2
13.4,1.77,0.77,45.5,-14
13.8,1.18,0.95,46.3,6.7
13.7,2.14,0.59,42.5,26.2
14.4,1.71,0.59,35,41.9
13.1,0.95,0.51,25,53.9
12.4,0.89,0.26,13.6,63.2
11.8,0.21,0.05,1.3,70.7
11.4,0,0,0,0
11.4,0,0,0,0
11.1,0,0,0,0
11.4,0,0,0,0
10.9,0,0,0,0
11.5,0,0,0,0
11.6,0,0,0,0
11.6,0,0,0,0
11.4,0,0,0,0
10.6,0,0,0,0
10.2,0,0,0,0
11.5,0,0,0,0
12.6,0.01,0.01,0,0
12.3,1.13,0.17,9.4,-66.3
14.2,2.1,0.28,21.2,-57.7
15.1,2.45,0.35,31.8,-46.8
15.7,2.57,0.41,40.4,-32.5
15.6,2.6,0.45,45.8,-14.1
16.1,0.99,0.99,46.6,6.7
15.9,0.78,0.93,42.8,26.3
15.5,1.47,0.66,35.2,42.1
16.3,1.51,0.44,25.2,54.1
15.4,0.95,0.26,13.8,63.4
13.4,0.31,0.05,1.4,70.9
13.7,0,0,0,0
14,0,0,0,0
13.8,0,0,0,0
14,0,0,0,0
14.5,0,0,0,0
14.7,0,0,0,0
15.2,0,0,0,0
15.3,0,0,0,0
15.6,0,0,0,0
16.1,0,0,0,0
16.3,0,0,0,0
16.4,0,0,0,0
16.7,0.01,0.01,0,0
16.4,0.06,0.11,9.5,-66.5
17,0.05,0.25,21.4,-58
17.3,0.06,0.4,32,-47.1
17.1,0.05,0.52,40.7,-32.7
16.8,0.05,0.59,46,-14.2
16.8,0.08,0.59,46.9,6.7
16.9,0.07,0.54,43.1,26.4
17.9,0.05,0.44,35.5,42.3
17.4,0.03,0.25,25.4,54.4
17.1,0.03,0.12,14,63.7
17,0.04,0.03,1.6,71.2
17.2,0,0,0,0
17.1,0,0,0,0
17.2,0,0,0,0
17.1,0,0,0,0
17.4,0,0,0,0
17.6,0,0,0,0
17.7,0,0,0,0
16.3,0,0,0,0
16.2,0,0,0,0
15.8,0,0,0,0
15.9,0,0,0,0
15.9,0,0,0,0
16.1,0.01,0.01,0,0
16.3,0.09,0.12,9.7,-66.8
16.7,0.09,0.28,21.6,-58.3
17.8,0.34,0.64,32.3,-47.4
19,0.77,0.88,40.9,-32.9
18.7,0.14,0.75,46.3,-14.4
19.8,0.21,0.86,47.2,6.8
19.3,0.14,0.69,43.4,26.6
19.4,0.07,0.5,35.7,42.5
19,0.08,0.34,25.7,54.6
18.7,0.08,0.18,14.1,63.9
18.3,0.07,0.04,1.8,71.4
17.8,0,0,0,0
17.1,0,0,0,0
17.1,0,0,0,0
17.5,0,0,0,0
17.6,0,0,0,0
17.6,0,0,0,0
17.8,0,0,0,0
16.8,0,0,0,0
16.6,0,0,0,0
16.3,0,0,0,0
15.7,0,0,0,0
15.2,0,0,0,0
