áYâú (826-A1),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
14.5,0,0,0,0
15.1,0,0,0,0
15.5,0,0,0,0
15.9,0,0,0,0
16.6,0,0,0,0
16.4,0,0,0,0
16.9,0,0,0,0
17.6,0,0,0,0
18,0,0,0,0
18.4,0.02,0.06,7.7,-60.9
16.8,0.02,0.15,18.9,-52.4
15.7,0.01,0.22,28.7,-41.5
15.5,0.03,0.34,36.3,-27.7
16,0.15,0.64,40.8,-10.8
16.3,0.1,0.59,41.1,7.7
15.9,0.09,0.47,37.3,25
15.7,0.04,0.29,30.1,39.4
15.5,0.1,0.26,20.6,50.7
15,0.06,0.1,9.6,59.6
15.2,0.01,0.01,0,0
14.5,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
13.7,0,0,0,0
13.5,0,0,0,0
13.1,0,0,0,0
12.9,0,0,0,0
13.2,0,0,0,0
13.5,0,0,0,0
13.6,0,0,0,0
13.6,0,0,0,0
13.6,0,0,0,0
13.6,0,0,0,0
13.5,0.05,0.07,7.7,-61.1
13.2,0.03,0.18,18.9,-52.6
13.8,0.02,0.26,28.7,-41.7
13,0.01,0.32,36.4,-27.9
13.2,0.02,0.36,40.9,-10.9
13.1,0,0.37,41.3,7.6
12.8,0.02,0.33,37.5,25
12.8,0.02,0.26,30.3,39.5
12.9,0.03,0.19,20.8,50.8
12.7,0.07,0.1,9.8,59.7
12.5,0.01,0.01,0,0
12.4,0,0,0,0
12.6,0,0,0,0
12.2,0,0,0,0
12.5,0,0,0,0
12.3,0,0,0,0
11.7,0,0,0,0
12.3,0,0,0,0
12.1,0,0,0,0
12,0,0,0,0
12,0,0,0,0
12,0,0,0,0
11.6,0,0,0,0
11.8,0,0,0,0
11.9,0.4,0.12,7.7,-61.3
13.6,1.24,0.3,18.9,-52.8
14,0.19,0.46,28.8,-41.9
13.9,0.19,0.6,36.5,-28.1
14.9,1.57,0.62,41.1,-11.1
15.8,1.58,0.62,41.5,7.5
15,1.06,0.68,37.7,25
15.3,1.5,0.46,30.5,39.5
14.3,0.68,0.38,21,50.9
13.9,0.48,0.17,10,59.8
13.4,0.01,0.02,0,0
13.8,0,0,0,0
13.2,0,0,0,0
13.7,0,0,0,0
13.7,0,0,0,0
14,0,0,0,0
13.7,0,0,0,0
13.3,0,0,0,0
13.6,0,0,0,0
13.4,0,0,0,0
13.5,0,0,0,0
13.8,0,0,0,0
14.2,0,0,0,0
14.2,0,0,0,0
14.6,0.11,0.09,7.7,-61.5
15,0.07,0.22,19,-53
16.6,0.72,0.54,28.9,-42.2
16.4,0.54,0.7,36.7,-28.3
16,0.88,0.78,41.2,-11.2
17,0.56,0.8,41.7,7.4
17.1,0.18,0.61,37.9,25
17.2,0.58,0.58,30.7,39.6
15.6,0.07,0.24,21.2,51
14.9,0.09,0.11,10.1,59.9
14.6,0.01,0.01,0,0
14.8,0,0,0,0
14.8,0,0,0,0
15.1,0,0,0,0
15.4,0,0,0,0
15.6,0,0,0,0
14.8,0,0,0,0
15.3,0,0,0,0
15.4,0,0,0,0
15.1,0,0,0,0
15.4,0,0,0,0
15.1,0,0,0,0
15.9,0,0,0,0
15.7,0,0,0,0
16.3,0.44,0.13,7.8,-61.7
17.9,0.98,0.33,19.1,-53.2
19.5,1.22,0.49,29,-42.4
18.6,1.03,0.67,36.8,-28.5
17.6,0.68,0.8,41.4,-11.4
18.7,1.05,0.76,41.9,7.4
18.4,0.31,0.69,38.1,25
18.1,0.06,0.38,30.9,39.6
17.3,0.09,0.26,21.4,51
16.4,0.1,0.13,10.3,60
15.6,0.01,0.01,0,0
15.8,0,0,0,0
15.1,0,0,0,0
15.5,0,0,0,0
16.4,0,0,0,0
15.9,0,0,0,0
16.1,0,0,0,0
15.1,0,0,0,0
15.5,0,0,0,0
15.5,0,0,0,0
15.9,0,0,0,0
16,0,0,0,0
16.2,0,0,0,0
16.2,0,0,0,0
16.7,0.12,0.1,7.8,-61.9
17.6,0.54,0.34,19.1,-53.4
19.1,0.94,0.53,29.1,-42.6
18.7,0.14,0.56,36.9,-28.7
19.3,0.05,0.49,41.6,-11.6
18.6,0.27,0.74,42.1,7.3
21.1,1.2,0.66,38.3,25
21,1.16,0.54,31.1,39.7
20,0.98,0.38,21.6,51.1
19.1,0.2,0.14,10.5,60.1
18.4,0.01,0.01,0,0
18.2,0,0,0,0
17.7,0,0,0,0
17.7,0,0,0,0
17.5,0,0,0,0
18,0,0,0,0
18.3,0,0,0,0
18.7,0,0,0,0
18.5,0,0,0,0
19,0,0,0,0
18.7,0,0,0,0
18.8,0,0,0,0
19,0,0,0,0
19.1,0,0,0,0
16.8,0.02,0.04,7.8,-62.1
16.4,0.01,0.11,19.2,-53.6
16,0.02,0.22,29.2,-42.8
15.7,0,0.27,37.1,-28.9
15,0.01,0.23,41.7,-11.7
14.8,0,0.24,42.3,7.2
14.6,0.01,0.22,38.5,25
14,0.02,0.22,31.3,39.7
13.4,0.03,0.2,21.7,51.2
13.4,0.03,0.08,10.7,60.2
13,0.01,0.01,0,0
13.1,0,0,0,0
13.5,0,0,0,0
13.4,0,0,0,0
13.5,0,0,0,0
13.5,0,0,0,0
13.5,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.1,0,0,0,0
13.1,0,0,0,0
13.5,0,0,0,0
13.5,0.05,0.07,7.9,-62.3
13.4,0.04,0.18,19.3,-53.8
13.3,0.03,0.26,29.3,-43
13.2,0.04,0.32,37.2,-29.1
13.1,0.01,0.38,41.9,-11.9
13.1,0.03,0.36,42.5,7.1
13.4,0.1,0.53,38.7,25
13.3,0.05,0.34,31.5,39.8
12.4,0.04,0.2,21.9,51.4
12.3,0.05,0.1,10.8,60.4
11.8,0.01,0.01,0,0
11.6,0,0,0,0
12,0,0,0,0
11.8,0,0,0,0
11.8,0,0,0,0
11.5,0,0,0,0
11.5,0,0,0,0
11.8,0,0,0,0
10.9,0,0,0,0
10.8,0,0,0,0
10.8,0,0,0,0
11.3,0,0,0,0
11.2,0,0,0,0
10.9,0,0,0,0
10.9,0.06,0.07,7.9,-62.6
11.2,0.04,0.17,19.3,-54
10.9,0.03,0.26,29.4,-43.2
11,0.02,0.33,37.4,-29.3
11,0.02,0.35,42.1,-12
11.2,0.02,0.37,42.7,7.1
10.8,0.01,0.34,39,25.1
10.4,0.02,0.27,31.7,39.9
10.9,0.03,0.19,22.1,51.5
10.8,0.05,0.1,11,60.5
10.6,0.01,0.01,0,0
10.7,0,0,0,0
10.8,0,0,0,0
11.2,0,0,0,0
11.1,0,0,0,0
11.5,0,0,0,0
11.4,0,0,0,0
11.6,0,0,0,0
11.9,0,0,0,0
10.4,0,0,0,0
10.8,0,0,0,0
10.4,0,0,0,0
11.4,0,0,0,0
10.1,0,0,0,0
11,0.06,0.08,8,-62.8
11.2,0.04,0.18,19.4,-54.3
11.4,0.03,0.28,29.5,-43.4
12.3,0.02,0.35,37.5,-29.5
12.4,0.12,0.59,42.3,-12.2
12.5,0.08,0.56,42.9,7
12,0.08,0.5,39.2,25.1
12.5,0.06,0.36,31.9,40
11.8,0.04,0.22,22.3,51.6
11.6,0.06,0.11,11.2,60.7
11.6,0.01,0.01,0,0
11.7,0,0,0,0
10.7,0,0,0,0
10.7,0,0,0,0
10.8,0,0,0,0
11.2,0,0,0,0
11,0,0,0,0
10.7,0,0,0,0
10.5,0,0,0,0
10.7,0,0,0,0
10.5,0,0,0,0
10.4,0,0,0,0
10.4,0,0,0,0
10.7,0,0,0,0
10.1,0.1,0.09,8.1,-63
10.7,0.14,0.27,19.5,-54.5
11.3,0.38,0.54,29.7,-43.7
10.7,0.18,0.59,37.7,-29.7
11.7,0.44,0.81,42.5,-12.3
11,0.12,0.62,43.1,7
11.2,0.23,0.67,39.4,25.1
11.7,0.58,0.61,32.2,40.1
11.3,0.7,0.41,22.5,51.7
9.6,0.12,0.14,11.4,60.8
10.5,0.01,0.02,0,0
9.9,0,0,0,0
10.5,0,0,0,0
10.8,0,0,0,0
10.1,0,0,0,0
10.6,0,0,0,0
9.5,0,0,0,0
10.2,0,0,0,0
10.2,0,0,0,0
8.8,0,0,0,0
9.7,0,0,0,0
9.3,0,0,0,0
9.6,0,0,0,0
9.8,0,0,0,0
9.9,0.07,0.09,8.1,-63.2
10.5,0.05,0.2,19.6,-54.7
10.9,0.05,0.3,29.8,-43.9
11.5,0.1,0.5,37.9,-29.9
11,0.08,0.58,42.7,-12.4
11.3,0.14,0.63,43.4,6.9
12.6,0.19,0.64,39.7,25.2
11.7,0.32,0.58,32.4,40.2
11.8,0.11,0.3,22.7,51.9
11.6,0.06,0.12,11.6,61
11.5,0.01,0.02,0,0
11.5,0,0,0,0
11.5,0,0,0,0
11.6,0,0,0,0
11.6,0,0,0,0
11.7,0,0,0,0
11.8,0,0,0,0
11.8,0,0,0,0
11.7,0,0,0,0
11.8,0,0,0,0
11.9,0,0,0,0
11.9,0,0,0,0
12,0,0,0,0
12.2,0,0,0,0
12.3,0.13,0.1,8.2,-63.5
12.9,0.42,0.34,19.7,-55
13.6,1.37,0.48,29.9,-44.1
14.7,1.41,0.61,38,-30.1
14.2,0.74,0.82,43,-12.6
13.5,0.15,0.68,43.6,6.9
13.7,0.45,0.75,39.9,25.2
14.8,1.38,0.52,32.6,40.3
14.5,1.22,0.38,22.9,52
13.9,0.26,0.18,11.7,61.1
13.9,0.01,0.02,0,0
13.9,0,0,0,0
14.1,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.3,0,0,0,0
14.4,0,0,0,0
14.5,0,0,0,0
14.6,0,0,0,0
14.1,0,0,0,0
13.1,0,0,0,0
10.9,0,0,0,0
10.6,0,0,0,0
11,0.02,0.05,8.3,-63.7
11.8,0.02,0.16,19.8,-55.2
12.2,0.05,0.34,30.1,-44.4
13.7,0.15,0.59,38.2,-30.3
13.6,0.05,0.38,43.2,-12.7
12.7,0.02,0.39,43.9,6.8
12.7,0.03,0.37,40.1,25.3
13.4,0.06,0.37,32.8,40.4
13.9,0.19,0.35,23.1,52.2
13.6,0.06,0.12,11.9,61.3
13.5,0.01,0.02,0,0
13.5,0,0,0,0
13.3,0,0,0,0
13.6,0,0,0,0
13.2,0,0,0,0
13.5,0,0,0,0
14.2,0,0,0,0
12.5,0,0,0,0
12.9,0,0,0,0
13.1,0,0,0,0
12.8,0,0,0,0
12.3,0,0,0,0
13,0,0,0,0
13.2,0,0,0,0
13.9,0.7,0.14,8.4,-64
15.1,1.12,0.33,20,-55.4
15.7,1.52,0.45,30.2,-44.6
15.5,0.5,0.73,38.4,-30.5
14.6,0.5,0.83,43.4,-12.9
14.5,0.37,0.82,44.1,6.8
14.9,0.18,0.66,40.4,25.4
15.4,1.27,0.55,33.1,40.6
15.7,1.38,0.36,23.3,52.3
15.3,0.78,0.2,12.1,61.5
14.4,0.06,0.03,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.5,0,0,0,0
14.5,0,0,0,0
14.5,0,0,0,0
14.4,0,0,0,0
14.5,0,0,0,0
14.1,0,0,0,0
14.3,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
14.6,0.25,0.12,8.5,-64.2
16.6,0.94,0.35,20.1,-55.7
17.3,0.49,0.57,30.4,-44.8
16.8,1.17,0.68,38.6,-30.7
17.9,0.34,0.8,43.6,-13
17.4,0.36,0.82,44.4,6.8
16.6,0.19,0.66,40.6,25.4
16.7,0.14,0.49,33.3,40.7
17,0.24,0.38,23.5,52.5
16.3,0.1,0.14,12.3,61.7
15.2,0.03,0.02,0.1,69.1
14.5,0,0,0,0
15.3,0,0,0,0
15,0,0,0,0
14.2,0,0,0,0
14.4,0,0,0,0
14.6,0,0,0,0
14.7,0,0,0,0
14.4,0,0,0,0
14.1,0,0,0,0
13.7,0,0,0,0
13.2,0,0,0,0
13,0,0,0,0
12.8,0,0,0,0
12.9,0.9,0.14,8.6,-64.5
14.5,1.66,0.26,20.2,-55.9
15.6,1.95,0.35,30.5,-45.1
16.1,2.02,0.44,38.8,-30.9
15.9,2.06,0.48,43.9,-13.2
16,2.08,0.49,44.6,6.7
16,2.05,0.45,40.9,25.5
15.9,1.96,0.38,33.5,40.9
15.4,1.79,0.3,23.8,52.7
15.3,0.94,0.21,12.5,61.9
13.9,0.06,0.03,0.3,69.3
14.2,0,0,0,0
14.5,0,0,0,0
14.5,0,0,0,0
14.3,0,0,0,0
13.8,0,0,0,0
14.1,0,0,0,0
13.8,0,0,0,0
13.5,0,0,0,0
13.8,0,0,0,0
13.6,0,0,0,0
13.5,0,0,0,0
14.3,0,0,0,0
14.7,0,0,0,0
14.7,0.14,0.1,8.7,-64.7
15.3,0.58,0.37,20.3,-56.2
17.7,0.92,0.56,30.7,-45.3
18.9,1.47,0.61,39,-31.2
19.7,1.21,0.77,44.1,-13.3
18.5,1.22,0.78,44.9,6.7
19.5,1.48,0.64,41.2,25.6
19.9,1.45,0.53,33.8,41
19.2,0.82,0.43,24,52.9
17.8,0.21,0.18,12.7,62.1
17.1,0.03,0.02,0.5,69.5
16.9,0,0,0,0
17.6,0,0,0,0
17.5,0,0,0,0
17.1,0,0,0,0
17.1,0,0,0,0
16.3,0,0,0,0
16.8,0,0,0,0
17.5,0,0,0,0
17.9,0,0,0,0
17.7,0,0,0,0
17.5,0,0,0,0
18.7,0,0,0,0
18.2,0,0,0,0
18.6,0.05,0.08,8.8,-65
18.9,0.03,0.19,20.5,-56.4
19.3,0.04,0.33,30.9,-45.6
19.1,0.03,0.41,39.3,-31.4
19.3,0,0.32,44.4,-13.4
17.5,0.02,0.24,45.2,6.7
17.3,0,0.3,41.4,25.7
17.6,0.02,0.3,34,41.2
17.4,0.02,0.18,24.2,53.1
17.4,0.02,0.09,12.8,62.3
17.2,0.01,0.02,0.6,69.7
17.1,0,0,0,0
16.8,0,0,0,0
17,0,0,0,0
17,0,0,0,0
17,0,0,0,0
16.8,0,0,0,0
16.7,0,0,0,0
16.6,0,0,0,0
16.4,0,0,0,0
16.2,0,0,0,0
16.3,0,0,0,0
16.1,0,0,0,0
16,0,0,0,0
16,0.04,0.08,8.9,-65.2
16.1,0.03,0.19,20.6,-56.7
16.2,0.03,0.27,31.1,-45.8
16.2,0.04,0.33,39.5,-31.6
16.1,0.02,0.38,44.7,-13.6
15.9,0,0.39,45.5,6.7
16.1,0.03,0.34,41.7,25.8
15.9,0.01,0.3,34.2,41.3
15.9,0.03,0.22,24.4,53.3
15.8,0.04,0.12,13,62.5
16.1,0.01,0.02,0.8,69.9
16.6,0,0,0,0
17.1,0,0,0,0
17.5,0,0,0,0
17.7,0,0,0,0
17.3,0,0,0,0
17.5,0,0,0,0
17.5,0,0,0,0
17.4,0,0,0,0
17.4,0,0,0,0
17.4,0,0,0,0
17.6,0,0,0,0
17.2,0,0,0,0
17.5,0,0,0,0
17.7,0.37,0.14,9,-65.5
18.2,0.21,0.32,20.8,-56.9
18.6,0.04,0.28,31.3,-46.1
16.7,0,0.26,39.7,-31.8
16.6,0.03,0.42,44.9,-13.7
16.5,0.06,0.55,45.8,6.7
16.5,0.07,0.5,42,25.9
16,0.06,0.41,34.5,41.5
15.3,0.07,0.27,24.6,53.5
14.9,0.06,0.14,13.2,62.7
14.7,0.03,0.02,0.9,70.2
14.4,0,0,0,0
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
14,0,0,0,0
13.4,0,0,0,0
12.8,0,0,0,0
13.1,0,0,0,0
13,0,0,0,0
13,0,0,0,0
12.9,0,0,0,0
12.4,0,0,0,0
12.1,0,0,0,0
12.2,0.09,0.1,9.1,-65.7
12.1,0.08,0.24,20.9,-57.2
12,0.07,0.39,31.4,-46.3
12.5,0.07,0.5,39.9,-32
12,0.08,0.56,45.2,-13.8
12.5,0.06,0.58,46,6.7
13.3,0.76,0.81,42.2,26
13,0.41,0.65,34.7,41.7
12.3,0.11,0.34,24.8,53.7
11.7,0.18,0.19,13.4,62.9
10.9,0.03,0.02,1.1,70.4
10.5,0,0,0,0
10.5,0,0,0,0
10.9,0,0,0,0
10.9,0,0,0,0
10.6,0,0,0,0
10.8,0,0,0,0
11,0,0,0,0
10.9,0,0,0,0
11,0,0,0,0
10.7,0,0,0,0
10.6,0,0,0,0
10.3,0,0,0,0
10.6,0.01,0.01,0,0
11.4,0.58,0.15,9.3,-66
11.8,1.42,0.31,21.1,-57.5
12.3,1.53,0.47,31.6,-46.6
12.4,0.51,0.77,40.2,-32.2
13.4,1.58,0.68,45.5,-14
13.8,1.05,0.84,46.3,6.7
13.7,1.9,0.52,42.5,26.2
14.4,1.52,0.53,35,41.9
13.1,0.84,0.46,25,53.9
12.4,0.79,0.23,13.6,63.2
11.8,0.18,0.04,1.3,70.7
11.4,0,0,0,0
11.4,0,0,0,0
11.1,0,0,0,0
11.4,0,0,0,0
10.9,0,0,0,0
11.5,0,0,0,0
11.6,0,0,0,0
11.6,0,0,0,0
11.4,0,0,0,0
10.6,0,0,0,0
10.2,0,0,0,0
11.5,0,0,0,0
12.6,0.01,0.01,0,0
12.3,1,0.15,9.4,-66.3
14.2,1.86,0.25,21.2,-57.7
15.1,2.18,0.31,31.8,-46.8
15.7,2.28,0.36,40.4,-32.5
15.6,2.31,0.4,45.8,-14.1
16.1,0.88,0.88,46.6,6.7
15.9,0.7,0.82,42.8,26.3
15.5,1.3,0.58,35.2,42.1
16.3,1.34,0.39,25.2,54.1
15.4,0.84,0.23,13.8,63.4
13.4,0.27,0.04,1.4,70.9
13.7,0,0,0,0
14,0,0,0,0
13.8,0,0,0,0
14,0,0,0,0
14.5,0,0,0,0
14.7,0,0,0,0
15.2,0,0,0,0
15.3,0,0,0,0
15.6,0,0,0,0
16.1,0,0,0,0
16.3,0,0,0,0
16.4,0,0,0,0
16.7,0.01,0.01,0,0
16.4,0.06,0.1,9.5,-66.5
17,0.05,0.22,21.4,-58
17.3,0.06,0.35,32,-47.1
17.1,0.05,0.46,40.7,-32.7
16.8,0.04,0.53,46,-14.2
16.8,0.07,0.52,46.9,6.7
16.9,0.06,0.48,43.1,26.4
17.9,0.05,0.39,35.5,42.3
17.4,0.02,0.22,25.4,54.4
17.1,0.02,0.1,14,63.7
17,0.03,0.02,1.6,71.2
17.2,0,0,0,0
17.1,0,0,0,0
17.2,0,0,0,0
17.1,0,0,0,0
17.4,0,0,0,0
17.6,0,0,0,0
17.7,0,0,0,0
16.3,0,0,0,0
16.2,0,0,0,0
15.8,0,0,0,0
15.9,0,0,0,0
15.9,0,0,0,0
16.1,0.01,0.01,0,0
16.3,0.08,0.1,9.7,-66.8
16.7,0.08,0.25,21.6,-58.3
17.8,0.3,0.57,32.3,-47.4
19,0.68,0.78,40.9,-32.9
18.7,0.12,0.66,46.3,-14.4
19.8,0.18,0.77,47.2,6.8
19.3,0.13,0.62,43.4,26.6
19.4,0.06,0.44,35.7,42.5
19,0.07,0.3,25.7,54.6
18.7,0.07,0.16,14.1,63.9
18.3,0.06,0.03,1.8,71.4
17.8,0,0,0,0
17.1,0,0,0,0
17.1,0,0,0,0
17.5,0,0,0,0
17.6,0,0,0,0
17.6,0,0,0,0
17.8,0,0,0,0
16.8,0,0,0,0
16.6,0,0,0,0
16.3,0,0,0,0
15.7,0,0,0,0
15.2,0,0,0,0
